country,year,records
BRA,1968,165914
BRA,1969,106789
BRA,1970,99101
BRA,1971,143939
BRA,1972,110399
BRA,1973,130922
BRA,1974,120736
BRA,1975,87365
BRA,1976,114092
BRA,1977,191244
BRA,1978,150999
BRA,1979,177294
BRA,1980,231977
BRA,1981,160866
BRA,1982,158961
BRA,1983,173743
BRA,1984,208764
BRA,1985,226913
BRA,1986,234198
BRA,1987,217287
BRA,1988,186508
BRA,1989,159621
BRA,1990,154369
BRA,1991,181555
BRA,1992,230866
BRA,1993,244135
BRA,1994,271478
BRA,1995,285764
BRA,1996,281629
BRA,1997,309368
BRA,1998,245552
BRA,1999,302340
BRA,2000,334871
BRA,2001,376112
BRA,2002,333744
BRA,2003,358182
BRA,2004,384145
BRA,2005,407398
BRA,2006,422488
BRA,2007,490703
BRA,2008,490570
BRA,2009,525640
BRA,2010,586538
BRA,2011,543135
BRA,2012,554507
BRA,2013,654725
BRA,2014,769898
BRA,2015,1075686
BRA,2016,1016804
BRA,2017,1302421
BRA,2018,1694055
BRA,2019,2005968
BRA,2020,1935341
BRA,2021,2394243
BRA,2022,3708652
BRA,2023,4147543
BRA,2024,5036105
BRA,2025,385337
BRB,1960,172
BRB,1961,653
BRB,1962,109
BRB,1963,1455
BRB,1964,425
BRB,1965,574
BRB,1966,1112
BRB,1967,616
BRB,1968,759
BRB,1969,292
BRB,1970,43
BRB,1971,104
BRB,1972,265
BRB,1973,589
BRB,1974,1322
BRB,1975,159
BRB,1976,453
BRB,1977,529
BRB,1978,355
BRB,1979,482
BRB,1980,247
BRB,1981,321
BRB,1982,212
BRB,1983,376
BRB,1984,74
BRB,1985,148
BRB,1986,82
BRB,1987,102
BRB,1988,534
BRB,1989,398
BRB,1990,234
BRB,1991,292
BRB,1992,338
BRB,1993,146
BRB,1994,186
BRB,1995,128
BRB,1996,727
BRB,1997,1360
BRB,1998,345
BRB,1999,206
BRB,2000,191
BRB,2001,204
BRB,2002,330
BRB,2003,798
BRB,2004,171
BRB,2005,431
BRB,2006,930
BRB,2007,842
BRB,2008,581
BRB,2009,377
BRB,2010,471
BRB,2011,1058
BRB,2012,766
BRB,2013,2472
BRB,2014,2986
BRB,2015,5554
BRB,2016,10412
BRB,2017,11925
BRB,2018,18043
BRB,2019,18484
BRB,2020,12489
BRB,2021,12478
BRB,2022,11472
BRB,2023,21908
BRB,2024,24721
BRB,2025,2009
BTN,1960,7
BTN,1962,2
BTN,1963,22
BTN,1964,17
BTN,1965,10
BTN,1966,105
BTN,1967,1233
BTN,1968,216
BTN,1969,44
BTN,1970,19
BTN,1971,809
BTN,1972,107
BTN,1973,208
BTN,1974,63
BTN,1975,231
BTN,1976,18
BTN,1977,4
BTN,1978,8
BTN,1979,2415
BTN,1980,39
BTN,1981,652
BTN,1982,1752
BTN,1983,256
BTN,1984,1271
BTN,1985,499
BTN,1986,595
BTN,1987,525
BTN,1988,400
BTN,1989,249
BTN,1990,964
BTN,1991,396
BTN,1992,102
BTN,1993,139
BTN,1994,1374
BTN,1995,440
BTN,1996,402
BTN,1997,381
BTN,1998,752
BTN,1999,1221
BTN,2000,2575
BTN,2001,3707
BTN,2002,3165
BTN,2003,3944
BTN,2004,69
BTN,2005,2017
BTN,2006,2974
BTN,2007,1783
BTN,2008,2374
BTN,2009,5400
BTN,2010,8443
BTN,2011,6195
BTN,2012,5657
BTN,2013,9508
BTN,2014,17888
BTN,2015,24479
BTN,2016,26502
BTN,2017,29098
BTN,2018,72745
BTN,2019,63354
BTN,2020,36744
BTN,2021,38740
BTN,2022,43500
BTN,2023,165289
